lon,lat,bio_10,bio_11,bio_15,bio_18,bio_2,bio_3,bio_8,bio_19,slope,soil_ph
10.1875,60.0625,15.373333930969238,-3.121999979019165,31.92110252380371,221.0,7.333666801452637,26.02067375183105,10.72266674041748,118.0,0.11209570025571094,4.826140925187446
10.729166666666666,64.02083333333333,11.31333351135254,-3.448666572570801,26.1375789642334,367.0,5.042666435241699,23.467361450195312,3.806666612625122,529.0,2.4522526464660173,5.204112343882188
7.8125,63.395833333333336,12.61180591583252,1.2673611640930176,36.11041259765625,268.0,3.9743056297302246,24.4134464263916,7.459027767181396,410.0,0.275089117315545,5.422194376825677
18.02083333333333,69.5625,10.937878608703612,-3.3151514530181885,28.015838623046875,190.0,4.829545497894287,23.280017852783203,7.53787899017334,262.0,83.0752272884864,5.396056840558804
11.1875,59.6875,14.569334030151367,-3.4533333778381348,27.70072555541992,241.0,7.34499979019165,26.74410057067871,5.401999950408936,168.0,1.0755087467835391,5.112958535703028
11.270833333333332,60.145833333333336,14.702000617980955,-5.279333114624023,25.969581604003903,229.0,8.476333618164062,27.63541030883789,4.655333518981934,154.0,0.5123221901706639,4.780377425499009
10.354166666666666,59.97916666666667,13.9399995803833,-4.36133337020874,29.090717315673828,244.0,7.02400016784668,25.7440242767334,4.384666919708252,148.0,1.496061735707092,4.826140925187446
9.0625,59.6875,14.09333324432373,-4.797333240509033,30.14216423034668,255.0,8.414000511169434,28.981813430786133,9.100000381469728,146.0,1.1513988480214636,4.774193466585533
11.020833333333332,61.020833333333336,12.394000053405762,-8.564000129699707,33.87222671508789,244.0,8.470999717712402,26.86477279663086,12.394000053405762,115.0,1.4909419864177693,4.72997527887666
11.1875,60.520833333333336,14.453332901000977,-5.081333160400391,28.867862701416016,210.0,8.31933307647705,27.341045379638672,13.253999710083008,118.0,2.738937709809459,4.6347197015430845
10.729166666666666,64.02083333333333,11.31333351135254,-3.448666572570801,26.1375789642334,367.0,5.042666435241699,23.467361450195312,3.806666612625122,529.0,2.4522526464660173,5.204112343882188
