lon,lat,bio_10,bio_11,bio_15,bio_18,bio_2,bio_3,bio_8
11.665666,64.030069,14.267999649047852,-2.5446665287017822,24.450092315673828,249.0,6.010666847229004,24.682435989379883,10.172666549682617
10.523952,60.98948,14.194000244140625,-6.289999961853027,32.60775375366211,241.0,7.647333145141602,25.49791145324707,14.194000244140625
8.681013,59.315283,14.510666847229004,-3.3559999465942383,27.87824821472168,266.0,8.175999641418457,28.98468589782715,5.174666404724121
9.436964,60.135091,14.536666870117188,-6.309333324432373,33.82117462158203,231.0,9.297333717346191,29.014272689819336,12.977999687194824
9.684432,62.600789,10.146666526794434,-5.598666667938232,29.530738830566406,204.0,7.303999900817871,29.83660125732422,9.390666961669922
10.137722,59.718559,15.359333038330078,-3.6419999599456787,28.451162338256836,240.0,7.21999979019165,25.796770095825195,5.454666614532471
11.164253,60.221628,14.656000137329102,-5.449999809265137,24.5546932220459,227.0,8.487000465393066,27.3703556060791,4.501333236694336
10.704541,61.103165,12.419333457946777,-7.767999649047852,34.228553771972656,243.0,7.672999858856201,25.58690071105957,12.419333457946777
10.427311,59.385029,16.110000610351562,-2.0779998302459717,28.60503387451172,208.0,6.2216668128967285,23.77585792541504,7.016666412353516
10.633484,59.97927,14.411999702453613,-3.9646666049957275,28.4829158782959,252.0,7.0239996910095215,25.698814392089844,4.817333221435547
10.706544,59.447715,15.920666694641113,-2.171999931335449,25.670146942138672,209.0,7.427000045776367,27.082117080688477,6.7166666984558105
6.618283,61.853252,12.842222213745117,-0.07555558532476425,39.25289535522461,267.0,5.6972222328186035,28.8515625,2.8533332347869873
11.288702,63.742516,14.013333320617676,-1.6086666584014893,23.088626861572266,286.0,6.405333042144775,27.326505661010742,10.159333229064941
6.528496,61.194091,13.565873146057129,-0.5928571224212646,38.513973236083984,257.0,5.336904525756836,25.431133270263672,2.567460298538208
11.088887,59.261543,16.027999877929688,-1.6446665525436401,24.607328414916992,204.0,7.075333595275879,26.571029663085938,7.2186665534973145
